Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	50.038357	0.0	50.038357	50.038357	50.0	0.31006518	0.065658234	0.39770108	0.14372602	50	7.2479247e-07	622.51733	-0.04694688	-392.46188	93.15489	0.7195291	0.92	1.0	0.6936860084533691
1	50.004093	0.0	50.004093	50.004093	50.0	12.351509	0.0	12.351509	12.351509	100	-1.4972687e-06	229.74017	-0.12565945	-67.32054	90.849335	0.053959962	0.82	1.0	0.8447749614715576
2	50.071594	0.0	50.071594	50.071594	50.0	16.473696	1.9073486e-06	16.473698	16.473698	150	1.4209747e-06	163.0122	-0.08606977	-26.475677	91.9787	0.30080262	0.8	1.0	0.9752700328826904
3	50.024906	0.0	50.024906	50.024906	50.0	19.27735	0.0	19.27735	19.27735	200	5.722046e-07	136.03246	-0.11297073	-8.3196335	91.80018	0.20841569	0.82	2.0	1.1025419235229492
4	50.063698	0.0	50.063698	50.063698	50.0	20.979403	1.9073486e-06	20.979404	20.979404	250	-1.3256073e-06	127.99651	-0.08481957	-2.110527	92.689	0.29709703	0.68	1.0	1.2394039630889893
5	50.071087	0.0	50.071087	50.071087	50.0	21.897459	1.9073486e-06	21.897457	21.897457	300	-3.6239624e-07	125.988205	-0.08280199	-0.41786194	91.903465	0.11567505	0.6	1.0	1.3710219860076904
6	50.050995	0.0	50.050995	50.050995	50.0	22.330938	0.0	22.330938	22.330938	350	-2.479553e-07	125.37491	-0.084475875	-0.05885315	92.481544	0.050122682	0.7	2.0	1.5023078918457031
7	50.032288	0.0	50.032288	50.032288	50.0	22.502605	1.9073486e-06	22.502607	22.502607	400	7.4386594e-07	125.26455	-0.1481354	-0.0065307617	90.2652	0.038593598	0.8	5.0	1.6431918144226074
8	50.026665	0.0	50.026665	50.026665	50.0	22.562372	0.0	22.562372	22.562372	450	-1.0871887e-06	125.16162	-0.11392072	-0.0001296997	92.06723	0.16000916	0.76	1.0	1.774078130722046
9	50.01567	0.0	50.01567	50.01567	50.0	22.571373	1.9073486e-06	22.571371	22.571371	500	-1.153946e-06	125.32979	-0.10529559	-0.00019073486	92.81856	0.13231674	0.66	2.0	2.206533908843994
